Timestamp,Emissivity,Object 0x5A Temp (F),Ambient 0x5A Temp (F),Object 0x5B Temp (F),Ambient 0x5B Temp (F)
2025-02-22 10:51:48,0.55,106.25,81.52,109.56,84.07
2025-02-22 10:51:49,0.55,106.14,81.55,109.42,84.15
2025-02-22 10:51:49,0.55,106.14,81.55,109.42,84.15
2025-02-22 10:51:50,0.55,106.11,81.59,109.81,84.15
2025-02-22 10:51:50,0.55,106.11,81.59,109.81,84.15
2025-02-22 10:51:51,0.55,105.82,81.7,104.52,84.15
2025-02-22 10:51:51,0.55,105.82,81.7,104.52,84.15
2025-02-22 10:51:52,0.55,105.67,81.63,110.97,84.25
2025-02-22 10:51:52,0.55,105.67,81.63,110.97,84.25
2025-02-22 10:51:53,0.55,103.84,81.63,105.93,84.18
2025-02-22 10:51:53,0.55,103.84,81.63,105.93,84.18
2025-02-22 10:51:54,0.55,104.05,81.7,106.43,84.22
2025-02-22 10:51:54,0.55,104.05,81.7,106.43,84.22
2025-02-22 10:51:55,0.55,104.34,81.73,107.37,84.22
2025-02-22 10:51:55,0.55,104.34,81.73,107.37,84.22
2025-02-22 10:51:56,0.55,104.67,81.77,101.61,84.25
2025-02-22 10:51:56,0.55,104.67,81.77,101.61,84.25
2025-02-22 10:51:57,0.55,105.6,81.7,104.81,84.25
2025-02-22 10:51:57,0.55,105.6,81.7,104.81,84.25
2025-02-22 10:51:58,0.55,105.82,81.81,107.47,84.25
2025-02-22 10:51:58,0.55,105.82,81.81,107.47,84.25
2025-02-22 10:51:59,0.55,105.96,81.81,109.6,84.4
2025-02-22 10:51:59,0.55,105.96,81.81,109.6,84.4
2025-02-22 10:52:00,0.55,105.82,81.84,109.6,84.4
2025-02-22 10:52:00,0.55,105.82,81.84,109.6,84.4
2025-02-22 10:52:01,0.55,76.37,81.88,74.25,84.36
2025-02-22 10:52:01,0.55,76.37,81.88,74.25,84.36
2025-02-22 10:52:02,0.55,82.31,81.81,78.42,84.4
2025-02-22 10:52:02,0.55,82.31,81.81,78.42,84.4
2025-02-22 10:52:03,0.55,79.54,81.81,74.97,84.36
2025-02-22 10:52:03,0.55,79.54,81.81,74.97,84.36
2025-02-22 10:52:04,0.55,76.55,81.84,72.88,84.36
2025-02-22 10:52:04,0.55,76.55,81.84,72.88,84.36
2025-02-22 10:52:05,0.55,74.32,81.81,71.83,84.29
2025-02-22 10:52:05,0.55,74.32,81.81,71.83,84.29
2025-02-22 10:52:06,0.55,79.57,81.84,76.26,84.29
2025-02-22 10:52:06,0.55,79.57,81.84,76.26,84.29
2025-02-22 10:52:07,0.55,76.77,81.81,74.57,84.29
2025-02-22 10:52:07,0.55,76.77,81.81,74.57,84.29
2025-02-22 10:52:08,0.55,72.77,81.88,69.89,84.29
2025-02-22 10:52:08,0.55,72.77,81.88,69.89,84.29
2025-02-22 10:52:09,0.55,72.84,81.81,69.39,84.25
2025-02-22 10:52:09,0.55,72.84,81.81,69.39,84.25
2025-02-22 10:52:10,0.55,72.63,81.81,69.31,84.22
2025-02-22 10:52:10,0.55,72.63,81.81,69.31,84.22
2025-02-22 10:52:11,0.55,72.88,81.77,70.0,84.22
2025-02-22 10:52:11,0.55,72.88,81.77,70.0,84.22
2025-02-22 10:52:12,0.55,73.09,81.84,70.29,84.18
2025-02-22 10:52:12,0.55,73.09,81.84,70.29,84.18
